"roomid","timestr","dtype","category","tag","current"
"东陈集机房","2024-07-20-14","HOUR","VECTOR","BUSINESS","5.01085"
"东陈集机房","2024-07-20-14","HOUR","VECTOR","DEVICE","21.6071"
"东陈集机房","2024-07-20-14","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-14","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-14","HOUR","VECTOR","PRODUCT","33.1142"
"东陈集机房","2024-07-20-14","HOUR","VECTOR","PUE","1.53256"
"东陈集机房","2024-07-20-14","HOUR","VECTOR","TOTAL","38.1251"
"东陈集机房","2024-07-20-15","HOUR","POINT","A","43.0898"
"东陈集机房","2024-07-20-15","HOUR","POINT","B","33.2373"
"东陈集机房","2024-07-20-15","HOUR","POINT","F","22.1041"
"东陈集机房","2024-07-20-15","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-15","HOUR","VECTOR","BUSINESS","9.85254"
"东陈集机房","2024-07-20-15","HOUR","VECTOR","DEVICE","22.1041"
"东陈集机房","2024-07-20-15","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-15","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-15","HOUR","VECTOR","PRODUCT","33.2373"
"东陈集机房","2024-07-20-15","HOUR","VECTOR","PUE","1.50367"
"东陈集机房","2024-07-20-15","HOUR","VECTOR","TOTAL","43.0898"
"东陈集机房","2024-07-20-16","HOUR","POINT","A","43.6017"
"东陈集机房","2024-07-20-16","HOUR","POINT","B","34.3136"
"东陈集机房","2024-07-20-16","HOUR","POINT","F","22.399"
"东陈集机房","2024-07-20-16","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-16","HOUR","VECTOR","BUSINESS","9.28814"
"东陈集机房","2024-07-20-16","HOUR","VECTOR","DEVICE","22.399"
"东陈集机房","2024-07-20-16","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-16","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-16","HOUR","VECTOR","PRODUCT","34.3136"
"东陈集机房","2024-07-20-16","HOUR","VECTOR","PUE","1.53192"
"东陈集机房","2024-07-20-16","HOUR","VECTOR","TOTAL","43.6017"
"东陈集机房","2024-07-20-17","HOUR","POINT","A","42.7746"
"东陈集机房","2024-07-20-17","HOUR","POINT","B","34.0502"
"东陈集机房","2024-07-20-17","HOUR","POINT","F","23.2203"
"东陈集机房","2024-07-20-17","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-17","HOUR","VECTOR","BUSINESS","8.72441"
"东陈集机房","2024-07-20-17","HOUR","VECTOR","DEVICE","23.2203"
"东陈集机房","2024-07-20-17","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-17","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-17","HOUR","VECTOR","PRODUCT","34.0502"
"东陈集机房","2024-07-20-17","HOUR","VECTOR","PUE","1.46639"
"东陈集机房","2024-07-20-17","HOUR","VECTOR","TOTAL","42.7746"
"东陈集机房","2024-07-20-18","HOUR","POINT","A","44.4007"
"东陈集机房","2024-07-20-18","HOUR","POINT","B","35.5644"
"东陈集机房","2024-07-20-18","HOUR","POINT","F","23.9295"
"东陈集机房","2024-07-20-18","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-18","HOUR","VECTOR","BUSINESS","8.83627"
"东陈集机房","2024-07-20-18","HOUR","VECTOR","DEVICE","23.9295"
"东陈集机房","2024-07-20-18","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-18","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-18","HOUR","VECTOR","PRODUCT","35.5644"
"东陈集机房","2024-07-20-18","HOUR","VECTOR","PUE","1.48622"
"东陈集机房","2024-07-20-18","HOUR","VECTOR","TOTAL","44.4007"
"东陈集机房","2024-07-20-19","HOUR","POINT","A","36.2424"
"东陈集机房","2024-07-20-19","HOUR","POINT","B","34.9281"
"东陈集机房","2024-07-20-19","HOUR","POINT","F","23.8807"
"东陈集机房","2024-07-20-19","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-19","HOUR","VECTOR","BUSINESS","1.31424"
"东陈集机房","2024-07-20-19","HOUR","VECTOR","DEVICE","23.8807"
"东陈集机房","2024-07-20-19","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-19","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-19","HOUR","VECTOR","PRODUCT","34.9281"
"东陈集机房","2024-07-20-19","HOUR","VECTOR","PUE","1.46261"
"东陈集机房","2024-07-20-19","HOUR","VECTOR","TOTAL","36.2424"
"东陈集机房","2024-07-20-20","HOUR","POINT","A","35.9512"
"东陈集机房","2024-07-20-20","HOUR","POINT","B","35.0081"
"东陈集机房","2024-07-20-20","HOUR","POINT","F","23.7817"
"东陈集机房","2024-07-20-20","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-20","HOUR","VECTOR","BUSINESS","0.943051"
"东陈集机房","2024-07-20-20","HOUR","VECTOR","DEVICE","23.7817"
"东陈集机房","2024-07-20-20","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-20","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-20","HOUR","VECTOR","PRODUCT","35.0081"
"东陈集机房","2024-07-20-20","HOUR","VECTOR","PUE","1.47206"
"东陈集机房","2024-07-20-20","HOUR","VECTOR","TOTAL","35.9512"
"东陈集机房","2024-07-20-21","HOUR","POINT","A","34.7359"
"东陈集机房","2024-07-20-21","HOUR","POINT","B","33.82"
"东陈集机房","2024-07-20-21","HOUR","POINT","F","23.3163"
"东陈集机房","2024-07-20-21","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-21","HOUR","VECTOR","BUSINESS","0.915932"
"东陈集机房","2024-07-20-21","HOUR","VECTOR","DEVICE","23.3163"
"东陈集机房","2024-07-20-21","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-21","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-21","HOUR","VECTOR","PRODUCT","33.82"
"东陈集机房","2024-07-20-21","HOUR","VECTOR","PUE","1.45049"
"东陈集机房","2024-07-20-21","HOUR","VECTOR","TOTAL","34.7359"
